Position,points
1,500
2,450
3,420
4,400
5,390
6,380
7,370
8,360
9,350
10,340
11,330
12,320
13,310
14,300
15,290
16,280
17,270
18,260
19,250
20,240
21,230
22,220
23,210
24,200
25,190
26,180
27,170
28,160
29,150
30,145
31,140
32,135
33,130
34,125
35,120
36,115
37,110
38,105
39,100
40,95
41,90
42,85
43,80
44,75
45,70
46,65
47,60
48,55
49,50
50,49
51,48
52,47
53,46
54,45
55,44
56,43
57,42
58,41
59,40
60,39
61,38
62,37
63,36
64,35
65,34
66,33
67,32
68,31
69,30
70,29
71,28
72,27
73,26
74,25
75,24
76,23
77,22
78,21
79,20
80,19
81,18
82,17
83,16
84,15
85,14
86,13
87,12
88,11
89,10
90,9
91,8
92,7
93,6
94,5
95,4
96,3
97,2
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
